caseID,caseName,caseDir,rackID,rackPowerW,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,rackInletHotspotVolume_mean,rackInletHotspotVolume_std,rackInletHotspotVolume_min,rackInletHotspotVolume_max,rackInletHotspotVolume_final8000,nRackInletCells_mean,nRackInletCells_std,nRackInletCells_min,nRackInletCells_max,nRackInletCells_final8000,nLateSamples,lateTimeMin,lateTimeMax
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,L2,5000.0,326.55630607940003,1.380887914824023,324.299294318,327.693851136,327.409861648,338.27825999999993,1.8661007939015615,335.8889,340.8605,340.8605,339.2102,2.100382275920278,336.5834,342.2764,342.2764,0.8528409090907999,0.01548230294714453,0.829545454545,0.866477272727,0.866477272727,0.30019999999999997,0.00544977063737549,0.292,0.305,0.305,352.0,0.0,352,352,352,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,L3,5000.0,331.2932986364,3.6959823117240598,327.549109091,336.352822443,336.352822443,342.84481999999997,3.360315909553743,339.3914,347.0098,347.0098,343.93711999999994,2.9754087268810667,340.8929,347.6725,347.6725,0.865909090909,0.012119732390787464,0.849431818182,0.877840909091,0.877840909091,0.30479999999999996,0.004266145801540312,0.299,0.309,0.309,352.0,0.0,352,352,352,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,R1,5000.0,328.11129602240004,6.700842771468671,319.64435142,335.557196875,324.245867045,337.7844,4.487862559170021,332.9029,343.2703,336.08,338.6968,4.186488741773951,335.1694,344.1171,336.4844,0.8988636363636001,0.040655781409088355,0.869318181818,0.965909090909,0.875,0.3164,0.014310835055998667,0.306,0.34,0.308,352.0,0.0,352,352,352,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,R2,5000.0,326.8696992046,2.051991452664729,323.952660795,328.866212784,328.866212784,339.18708,1.2253361893782435,338.4425,341.3379,339.042,339.8691,1.401829811353718,339.0725,342.3682,339.3842,0.8477272727276001,0.025615486542845095,0.823863636364,0.886363636364,0.886363636364,0.2984,0.009016651263079888,0.29,0.312,0.312,352.0,0.0,352,352,352,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,R3,5000.0,330.8792096024,1.3423096607542186,329.25180483,332.399400284,332.399400284,342.74026,2.6965924845997793,339.4145,345.4167,343.8725,343.93330000000003,2.845627253348559,340.7011,346.7835,344.8116,0.8613636363636001,0.020327890704795737,0.832386363636,0.889204545455,0.857954545455,0.3032,0.007155417527999334,0.293,0.313,0.302,352.0,0.0,352,352,352,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,L1,5000.0,303.6380207384,3.928376692856081,299.103600568,309.367467045,304.336393466,316.90434,6.2073792467514,309.7511,323.0469,322.3484,318.05648,6.619179365827764,310.7505,324.3166,323.9851,0.43693181818180005,0.12339818196380452,0.275568181818,0.616477272727,0.414772727273,0.1538,0.043436160051275256,0.097,0.217,0.146,352.0,0.0,352,352,352,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,L2,5000.0,307.4616439774,2.5965403928945556,304.399164205,311.4964125,306.924745739,319.5779,1.7301995448502596,317.6559,322.1947,317.6559,320.41794,1.7515320088425357,318.7573,323.0782,318.7573,0.5613636363637999,0.0946837111928143,0.420454545455,0.681818181818,0.590909090909,0.1976,0.03332866633995426,0.148,0.24,0.208,352.0,0.0,352,352,352,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,L3,5000.0,303.98105806800004,1.021017920394784,302.174569318,304.590475852,302.174569318,317.8832,3.095630237124593,312.8506,320.3605,320.0735,319.77808,3.9532226312212746,313.4007,323.613,323.613,0.4818181818184001,0.0841935414842345,0.357954545455,0.59375,0.357954545455,0.1696,0.029636126602509978,0.126,0.209,0.126,352.0,0.0,352,352,352,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,R1,5000.0,305.15211147739996,5.061293539801608,300.234314205,313.583888352,304.472177273,319.19356,4.066015519276823,313.5631,324.7035,320.727,320.59166,4.016607335550734,314.4494,325.5928,321.9238,0.4738636363636,0.14013487820980133,0.349431818182,0.713068181818,0.409090909091,0.1668,0.049327477129891814,0.123,0.251,0.144,352.0,0.0,352,352,352,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,R2,5000.0,308.1377967614,2.1380737300825987,304.573871591,309.983158239,307.878074716,321.04805999999996,3.716667175440913,316.0153,324.8787,316.0153,321.91014,4.0932393312631925,316.6068,326.5759,316.6068,0.5676136363634,0.08426061652951858,0.431818181818,0.650568181818,0.650568181818,0.1998,0.02965973701838909,0.152,0.229,0.229,352.0,0.0,352,352,352,5,4000.0,8000.0
